id;nom;adresse;description;email;num_tel;url_face_book;url_instagram;url_youtube
1;copy Direct program;Rustic;matrix green Platinum;Lester80@hotmail.com;Incredible Wooden Gloves Exclusive;unleash Networked synthesize;client-server;connecting expedite
2;Berkshire payment Plastic;Customer;Home Loan Account Baby;Alfredo81@yahoo.com;Unbranded;scale olive;SCSI holistic extranet;orchid
3;Markets microchip;Views transitional indexing;platforms Generic Steel Keyboard monitor;Itzel.Kunze88@hotmail.com;expedite;AI;synthesizing fault-tolerant;Principal value-added Central African Republic
4;Small Fresh Mouse;green;orange Dynamic;Taya.Wisozk@yahoo.com;Industrial;matrix;capacitor Unbranded Personal Loan Account;Division
5;Borders Steel Sausages;Grocery;Computer;Vickie59@gmail.com;Buckinghamshire;Automotive Auto Loan Account;CSS;Georgia circuit Visionary
6;generate;Avon Belarus copying;Bike Handmade Granite Chair compressing;Halle.Swift@yahoo.com;web-readiness Montenegro enterprise;generate deposit THX;Colorado;Chips
7;Panama enterprise;auxiliary;HTTP;Bulah.Moen@hotmail.com;Rustic New Hampshire;TCP;Via;Fresh back-end
8;Dynamic Investor Auto Loan Account;Nakfa;synthesize Central Guyana;Jena11@yahoo.com;application Garden Graphical User Interface;models bluetooth encoding;Tennessee;overriding
9;application Program Creative;Progressive;mobile Money Market Account;Vivian.McGlynn90@gmail.com;networks;eyeballs ubiquitous;Brook;Libyan Arab Jamahiriya invoice Borders
10;e-business auxiliary;paradigms Brook;Sri Lanka PCI programming;Name_Prosacco46@yahoo.com;Handmade Metal Ball Savings Account;feed;local area network;override Toys
